Room,Month,RM ARR,RM NIGHTS,ROOM REV,ADR,,,,
724,March,22,27,"3,526.07",130.6,,,,
724,April,11,23,"3,078.14",133.83,,,,
724,May,15,22,"3,781.00",171.86,,,,
724,June,15,25,"4,079.29",163.17,,,,
724,July,13,21,"3,371.93",160.57,,,,
724,August,12,19,"3,038.32",159.91,,,,
724,September,15,21,"3,205.89",152.66,,,,
724,October,16,25,"4,029.19",161.17,,,,
724,November,17,19,"3,065.51",161.34,,,,
724,December,11,16,"1,803.82",112.74,,,,
725,January,2,4,"1,048.45",262.11,,,,
725,February,8,14,"2,171.91",155.14,,,,
725,March,10,13,"2,480.84",190.83,,,,
725,April,8,14,"2,782.25",198.73,,,,
725,May,13,22,"5,992.48",272.39,,,,
725,June,13,17,"3,365.87",197.99,,,,
725,July,10,16,"3,306.63",206.66,,,,
725,August,16,22,"5,811.91",264.18,,,,
725,September,11,17,"3,348.83",196.99,,,,
725,October,9,13,"3,141.25",241.63,,,,
725,November,13,21,"5,381.24",256.25,,,,
725,December,8,9,"1,816.53",201.84,,,,
726,January,4,6,888.31,148.05,,,,
726,February,7,9,"1,863.94",207.1,,,,
726,March,8,11,"1,994.08",181.28,,,,
726,April,7,15,"3,713.87",247.59,,,,
726,May,12,18,"3,975.62",220.87,,,,
726,June,11,13,"3,705.94",285.07,,,,
726,July,8,12,"2,763.27",230.27,,,,
726,August,12,25,"4,961.47",198.46,,,,
726,September,10,17,"3,874.16",227.89,,,,
726,October,10,16,"3,284.63",205.29,,,,
726,November,10,17,"4,309.76",253.52,,,,
726,December,8,10,"1,933.64",193.36,,,,
727,January,9,13,"1,723.43",132.57,18782,31050,"5,064,270.44",163.1
727,February,15,21,"3,410.27",162.39,18782,31050,"5,064,270.44",163.1
727,March,19,28,"3,965.10",141.61,18782,31050,"5,064,270.44",163.1
727,April,1,29,"3,201.00",110.38,18782,31050,"5,064,270.44",163.1
727,May,10,24,"4,118.58",171.61,18782,31050,"5,064,270.44",163.1
727,June,13,26,"3,666.41",141.02,18782,31050,"5,064,270.44",163.1
727,July,15,27,"4,434.14",164.23,18782,31050,"5,064,270.44",163.1
727,August,13,29,"4,015.60",138.47,18782,31050,"5,064,270.44",163.1
727,September,14,17,"2,919.11",171.71,18782,31050,"5,064,270.44",163.1
727,October,15,26,"4,166.71",160.26,18782,31050,"5,064,270.44",163.1
727,November,21,23,"3,540.01",153.91,18782,31050,"5,064,270.44",163.1
